# matrix=x104
# rows=108384
# nnz_total=5138004
# nnz_per_row=47.4056
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
128,6,69,7480.38291931152,70.0950622558594,7550.47798156738,1.36097450056623,5138004
128,7,69,7551.43165588379,69.3798065185547,7620.81146240234,1.34841388619797,5138004
128,8,69,7655.85899353027,70.3334808349609,7726.19247436523,1.33002226311276,5138004
128,9,69,7777.69088745117,87.0227813720703,7864.71366882324,1.30659658224246,5138004
128,0,70,7476.0913848877,121.355056762695,7597.44644165039,1.35256076879533,5138004
128,1,70,8204.22172546387,106.573104858398,8310.79483032227,1.23646512876333,5138004
128,2,70,7615.56625366211,113.010406494141,7728.57666015625,1.3296119650306,5138004
128,3,70,7476.5682220459,103.473663330078,7580.04188537598,1.35566638752027,5138004
128,4,70,7432.93762207031,102.758407592773,7535.69602966309,1.36364417560768,5138004
128,5,70,7975.57830810547,103.473663330078,8079.05197143555,1.27193240448657,5138004
128,6,70,7469.41566467285,98.9437103271484,7568.359375,1.35775899251613,5138004
128,7,70,7563.82942199707,103.950500488281,7667.77992248535,1.34015426940804,5138004
128,8,70,7644.1764831543,105.381011962891,7749.55749511719,1.32601222798523,5138004
128,9,70,7772.68409729004,123.739242553711,7896.42333984375,1.30134968171594,5138004
128,0,71,7442.23594665527,115.633010864258,7557.86895751953,1.35964357913035,5138004
128,1,71,8198.02284240723,88.9301300048828,8286.95297241211,1.24002248283653,5138004
128,2,71,7613.18206787109,89.4069671630859,7702.58903503418,1.33409791866877,5138004
128,3,71,7465.60096740723,77.9628753662109,7543.56384277344,1.36222191714387,5138004
128,4,71,7450.58059692383,79.1549682617188,7529.73556518555,1.36472362290013,5138004
128,5,71,7962.22686767578,75.5786895751953,8037.80555725098,1.27845939128621,5138004
128,6,71,7432.22236633301,78.4397125244141,7510.66207885742,1.36818936760942,5138004
128,7,71,7539.03388977051,77.0092010498047,7616.04309082031,1.34925812229001,5138004
128,8,71,7546.90170288086,89.1685485839844,7636.07025146484,1.34571941608692,5138004
128,9,71,7697.82066345215,78.6781311035156,7776.49879455566,1.32141832352552,5138004
128,0,72,7542.13333129883,99.8973846435547,7642.03071594238,1.3446698112012,5138004
128,1,72,8197.30758666992,80.5854797363281,8277.89306640625,1.24137965030046,5138004
128,2,72,7596.96960449219,97.0363616943359,7694.00596618652,1.33558617515515,5138004
128,3,72,7431.0302734375,84.1617584228516,7515.19203186035,1.3673646603354,5138004
128,4,72,7416.0099029541,83.4465026855469,7499.45640563965,1.3702337135092,5138004
128,5,72,7968.18733215332,82.4928283691406,8050.68016052246,1.27641488608499,5138004
128,6,72,7445.33538818359,82.7312469482422,7528.06663513184,1.36502617445549,5138004
128,7,72,7567.8825378418,82.2544097900391,7650.13694763184,1.34324497330483,5138004
128,8,72,7550.95481872559,93.4600830078125,7644.4149017334,1.34425042754677,5138004
128,9,72,7728.57666015625,100.612640380859,7829.18930053711,1.31252516774566,5138004
128,0,73,7421.25511169434,81.0623168945312,7502.31742858887,1.36971117228945,5138004
128,1,73,8197.06916809082,70.5718994140625,8267.64106750488,1.24291897968198,5138004
128,2,73,7589.10179138184,79.1549682617188,7668.25675964355,1.34007093425464,5138004
128,3,73,7459.16366577148,67.2340393066406,7526.39770507812,1.36532886018855,5138004
128,4,73,7361.41204833984,65.8035278320312,7427.21557617188,1.3835612948906,5138004
128,5,73,7974.38621520996,66.9956207275391,8041.3818359375,1.27789081648577,5138004
128,6,73,7480.85975646973,66.9956207275391,7547.85537719727,1.36144738955184,5138004
128,7,73,7523.2982635498,66.0419464111328,7589.34020996094,1.35400544918422,5138004
128,8,73,7564.30625915527,75.3402709960938,7639.64653015137,1.34508945661867,5138004
128,9,73,7698.05908203125,67.7108764648438,7765.76995849609,1.3232439352337,5138004
128,0,74,7443.18962097168,107.765197753906,7550.95481872559,1.36088855604282,5138004
128,1,74,8090.73448181152,83.92333984375,8174.65782165527,1.25705665291312,5138004
128,2,74,7343.05381774902,75.8171081542969,7418.87092590332,1.38511750677867,5138004
128,3,74,7489.20440673828,75.1018524169922,7564.30625915527,1.35848650860252,5138004
128,4,74,7334.47074890137,73.4329223632812,7407.90367126465,1.38716814580902,5138004
128,5,74,7948.63700866699,72.479248046875,8021.11625671387,1.28111944411711,5138004
128,6,74,7436.51390075684,73.1945037841797,7509.70840454102,1.36836311697352,5138004
128,7,74,7524.25193786621,71.7639923095703,7596.01593017578,1.35281548833748,5138004
128,8,74,7494.44961547852,72.2408294677734,7566.69044494629,1.35805846357349,5138004
128,9,74,7546.66328430176,72.0024108886719,7618.66569519043,1.34879366166271,5138004
128,0,75,7437.70599365234,79.6318054199219,7517.33779907227,1.36697435643616,5138004
128,1,75,8067.84629821777,69.3798065185547,8137.22610473633,1.26283918717937,5138004
128,2,75,7411.24153137207,67.2340393066406,7478.47557067871,1.37407789901591,5138004
128,3,75,7431.7455291748,66.2803649902344,7498.02589416504,1.37049513365869,5138004
128,4,75,7372.37930297852,68.1877136230469,7440.56701660156,1.38107861633017,5138004
128,5,75,7948.39859008789,66.9956207275391,8015.39421081543,1.28203401226782,5138004
128,6,75,7426.73873901367,66.7572021484375,7493.49594116211,1.37132362260363,5138004
128,7,75,7344.96116638184,77.7244567871094,7422.68562316895,1.38440566146635,5138004
128,8,75,7550.95481872559,78.2012939453125,7629.1561126709,1.34693901242014,5138004
128,9,75,7611.27471923828,66.9956207275391,7678.27033996582,1.33832328701854,5138004
128,0,76,7452.24952697754,88.4532928466797,7540.70281982422,1.36273875864525,5138004
128,1,76,8123.63624572754,81.3007354736328,8204.93698120117,1.25241766311478,5138004
128,2,76,7376.90925598145,78.4397125244141,7455.34896850586,1.37834030887215,5138004
128,3,76,7416.4867401123,81.7775726318359,7498.26431274414,1.3704515567069,5138004
128,4,76,7408.85734558105,78.4397125244141,7487.29705810547,1.37245896887123,5138004
128,5,76,7940.05393981934,79.6318054199219,8019.68574523926,1.28134796380272,5138004
