# matrix=msc10848
# rows=10848
# nnz_total=620313
# nnz_per_row=57.1822
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
8,8,3,36.2396240234375,138.759613037109,174.999237060547,7.08932233556403,620313
8,9,3,36.7164611816406,138.282775878906,174.999237060547,7.08932233556403,620313
8,0,4,38.3853912353516,140.42854309082,178.813934326172,6.938083459072,620313
8,1,4,38.14697265625,138.998031616211,177.145004272461,7.00344898291252,620313
8,2,4,37.1932983398438,138.759613037109,175.952911376953,7.05089782426016,620313
8,3,4,38.3853912353516,140.42854309082,178.813934326172,6.938083459072,620313
8,4,4,36.4780426025391,141.143798828125,177.621841430664,6.98464777758926,620313
8,5,4,37.1932983398438,141.382217407227,178.57551574707,6.94734658785581,620313
8,6,4,36.9548797607422,140.666961669922,177.621841430664,6.98464777758926,620313
8,7,4,36.0012054443359,140.42854309082,176.429748535156,7.03184134365405,620313
8,8,4,38.3853912353516,140.666961669922,179.052352905273,6.92884499907324,620313
8,9,4,36.4780426025391,140.42854309082,176.906585693359,7.01288759340162,620313
8,0,5,38.8622283935547,140.42854309082,179.290771484375,6.91963110944681,620313
8,1,5,36.7164611816406,140.190124511719,176.906585693359,7.01288759340162,620313
8,2,5,35.7627868652344,140.42854309082,176.191329956055,7.04135669053315,620313
8,3,5,36.4780426025391,140.42854309082,176.906585693359,7.01288759340162,620313
8,4,5,37.1932983398438,149.011611938477,186.20491027832,6.66269218220743,620313
8,5,5,38.8622283935547,139.713287353516,178.57551574707,6.94734658785581,620313
8,6,5,37.1932983398438,140.42854309082,177.621841430664,6.98464777758926,620313
8,7,5,36.9548797607422,141.85905456543,178.813934326172,6.938083459072,620313
8,8,5,38.3853912353516,140.190124511719,178.57551574707,6.94734658785581,620313
8,9,5,38.3853912353516,140.666961669922,179.052352905273,6.92884499907324,620313
8,0,6,37.1932983398438,141.620635986328,178.813934326172,6.938083459072,620313
8,1,6,36.2396240234375,140.42854309082,176.668167114258,7.02235167922267,620313
8,2,6,35.5243682861328,142.574310302734,178.098678588867,6.96594724806426,620313
8,3,6,34.332275390625,141.620635986328,175.952911376953,7.05089782426016,620313
8,4,6,36.7164611816406,140.905380249023,177.621841430664,6.98464777758926,620313
8,5,6,37.1932983398438,140.42854309082,177.621841430664,6.98464777758926,620313
8,6,6,37.4317169189453,140.190124511719,177.621841430664,6.98464777758926,620313
8,7,6,38.14697265625,140.42854309082,178.57551574707,6.94734658785581,620313
8,8,6,34.5706939697266,138.759613037109,173.330307006836,7.15758266066575,620313
8,9,6,36.9548797607422,141.382217407227,178.337097167969,6.95663448436364,620313
8,0,7,38.3853912353516,138.759613037109,177.145004272461,7.00344898291252,620313
8,1,7,37.4317169189453,137.567520141602,174.999237060547,7.08932233556403,620313
8,2,7,36.0012054443359,138.521194458008,174.522399902344,7.10869206872131,620313
8,3,7,35.7627868652344,138.282775878906,174.045562744141,7.12816793740274,620313
8,4,7,35.0475311279297,139.713287353516,174.760818481445,7.09899398950068,620313
8,5,7,34.5706939697266,139.474868774414,174.045562744141,7.12816793740274,620313
8,6,7,35.5243682861328,138.282775878906,173.807144165039,7.13794594554733,620313
8,7,7,34.8091125488281,138.998031616211,173.807144165039,7.13794594554733,620313
8,8,7,34.332275390625,138.521194458008,172.853469848633,7.17732771628138,620313
8,9,7,36.0012054443359,136.852264404297,172.853469848633,7.17732771628138,620313
16,0,0,62.4656677246094,56.0283660888672,118.494033813477,10.4699448577545,620313
16,1,0,47.6837158203125,56.2667846679688,103.950500488281,11.9347765924404,620313
16,2,0,47.4452972412109,55.3131103515625,102.758407592773,12.0732310772715,620313
16,3,0,48.8758087158203,55.0746917724609,103.950500488281,11.9347765924404,620313
16,4,0,49.1142272949219,61.7504119873047,110.864639282227,11.1904571920516,620313
16,5,0,63.6577606201172,56.5052032470703,120.162963867188,10.3245289569524,620313
16,6,0,46.9684600830078,56.0283660888672,102.996826171875,12.0452837831111,620313
16,7,0,48.6373901367188,56.7436218261719,105.381011962891,11.7727660504615,620313
